venue	tags
2000015	['nan']
2000020	"['andy cohen', 'bakery', 'bar', 'barbeque', 'bbq', 'bistro', 'boutique', 'bravo', 'bravoandy', 'celebrity sighting', 'coffee', 'cupcake', 'dessert', 'desserts', 'douchebag', 'douchebags', 'foodie', 'foody', 'french cuisine', 'gallery art', 'gossip girl', 'gossipgirl', 'home', 'manhattan', 'models', 'people hot spot', 'photo booth', 'restaurant', 'socalite', 'socialite', 'steak frites', 'theater', 'top chef', 'tourists', 'trendy', ""victoria's secret - bombshell"", 'vs hotspot', 'west village', 'wine', 'zagat rated']"
2000025	['colombian', 'cupcake', 'fish tacos', 'grilled corn', 'long wait', 'pork', 'rice and beans', 'sweet plantains', 'tinituan ma lala', 'trendy']
2000026	['brunch', 'happy hour', 'irish', 'pub']
2000036	['french', 'soho', 'zagat-rated', 'zagats']
2000039	['byob']
2000040	['+ jazz club', 'good food and jazz']
2000042	['bar', 'beer', 'brunch', 'burger', 'cozy', 'dinner', 'group', 'happy hour', 'lunch', 'nice waitress', 'salad', 'sandwiches', 'sports', 'steak', 'tavern']
2000046	['bakery', 'bravo', 'cupcake', 'dessert', 'diner', 'frozen hot chocolate', 'frozen yogurt', 'gossip girl', 'ice cream', 'socialite', 'top chef', 'tourists', 'upper east side']
2000047	['bagels', 'cafe', 'coffee', 'desserts', 'green tea cookies', 'irving farm', 'local food', 'outdoor seating', 'tea', 'wifi']
2000052	['gossip girl']
2000059	['french restaurant', 'outdoor seating', 'wine bar']
2000077	['american', 'brunch', 'dinner', 'happy hour', 'jazz', 'live jazz', 'live music', 'pre-fixe', 'restaurant', 'west village']
2000078	['japanese food', 'sushi']
2000083	['lunch', 'salad']
2000086	['bravo', 'michelin star', 'michelin-rated', 'nymag', 'restaurant', 'timeoutny', 'where to eat 2011', 'wylie dufresne', 'zagat-rated']
2000088	['desserts', 'ginger iced tea', 'roast pork sandwich', 'salads', 'strawberry lemonade', 'tarts']
2000098	['momo', 'not malaysian', 'tibet', 'tibetan']
2000099	['french diner', 'rimbaud', 'steak au poivre']
2000102	['brooklyn', 'food', 'italian']
2000105	['moroccan']
2000114	['rustic', 'taavo somer']
2000115	['bingo', 'fiesta lights', 'mexican', 'tequila']
2000123	['br guest hospitality', 'brunch', 'live jazz music', 'online reservations @ www.bluewatergrillnyc.com', 'outdoor seating', 'private room', 'raw bar', 'seafood', 'sushi', 'union square', 'www.brguesthospitality.com']
2000133	['bbq', 'bbq ribs', 'buffalo wings', 'delivery', 'fried chicken joint']
2000138	['extensive wine list', 'food', 'italian', 'late night', 'panini', 'wine']
2000140	['restaurant', 'sandwiches']
2000141	['best in nyc', 'cash only']
2000142	['deli', 'sandwich', 'sandwiches']
2000148	['chateaunef-du-pape', 'hiphostessnyc top pick', 'michelin star']
2000154	"['fried chicken', ""home cookin'"", 'soul food']"
2000155	['japanese', 'sushi']
2000161	['margaritas', 'zagat']
2000164	['brew pub', 'brew tours', 'pub crawl', 'restaurant', 'scenic view', 'wheelchair access', 'wifi']
2000167	['nan']
2000172	['barbecue', 'barbeque in times square', 'bbq', 'fries', 'margaritas', 'tourist', 'virgil', 'zagat-rated']
2000177	['brunch', 'cocktails', 'dinner', 'foodie', 'unlimited drinks']
2000180	['boston bar', 'brunch', 'new england', 'patriots', 'red sox', 'shittynachos', 'sports']
2000186	['bar', 'burgers', 'grilled cheese', 'open mic', 'outside dining', 'wings']
2000189	['cake doughnuts', 'chai', 'chocolate blackout', 'coffee', 'creme brulee', 'decaf coffee', 'dog creme', 'donuts', 'tres leche', 'valrhona chocolate']
2000190	['nan']
2000192	['annoying burp', 'bart', 'bbq', 'beer', 'buck hunter', 'college', 'pbr', 'pool table', 'slutty theater girls', 'tlc summer']
2000199	"['breakfast', 'brunch', 'cash only', 'cranky', 'cursing', ""don't be an asshole"", ""don't get kicked out"", 'eclectic', 'food', 'kenny shopsin', 'long lines', 'lunch', 'no cell phones', ""no copying someone else's order"", 'no parties larger than four', 'quirky']"
2000200	['bar', 'burger', 'crayons', 'happy hour', 'manhattan', 'restaurant', 'tribeca']
2000204	['mexican']
2000205	['askmen', 'beer', 'bravo', 'fl¨¹gen flaggen!', 'frat boys', 'german', 'gluten free', 'oktoberfest', 'outdoor seating', 'timeoutny', 'top chef', 'weihenstephan']
2000209	['sushi']
2000210	['pasta']
2000212	['italian restaurant']
2000217	['nan']
2000222	['brunch', 'delivery \\/ takeout available']
2000224	['nan']
2000239	['beer', 'bison burger', 'brewpub', 'burgers', 'cheese steak', 'chili', 'fries', 'happy hour', 'sliders', 'summer ale was lovely even in winter']
2000243	['empanadas', 'gazpacho']
2000254	['frat boys', 'gossip girl', 'socialite', 'socialities']
2000255	['beer', 'food', 'french', 'moroccan', 'outdoorseating']
2000262	['all you can eat mussels', 'brunch', 'b¨¦arnaise sauce', 'french', 'prix fixe', 'sunset menu']
2000263	['almond croissants', 'bakery', 'cafe', 'coffee', 'coffee shop']
2000271	['garden', 'great food and service', 'outdoor space', 'puma social hot spot']
2000278	['baklava', 'falafel', 'hummus', 'lentil soup', 'schwarma', 'shwarma', 'west village']
2000284	[' dinner', ' ellen degeneres', ' late night', ' lunch', ' paula dean', ' snack', ' zagat rated', 'cheapism', 'cheapskate', 'hot dogs', 'recession special', 'smoothies', 'upper west side']
2000291	['batali', 'mario batali', 'showtime network']
2000307	['nan']
2000308	['cocktails', 'private events', 'special occasion', 'steak', 'steakhouse']
2000309	['dessert', 'icecream']
2000313	['catering', 'mangia', 'midtown']
2000315	['choice eats', 'enchiladas', 'guacamole', 'margaritas', 'mexican', 'socialite', 'spicy', 'tacos', 'village voice', 'village voice choice eats', 'voicestreet']
2000316	['br guest hospitality', 'broadway', 'delivery', 'dumplings', 'kids cooking classes', 'pan-asian', 'post-theater', 'pre theater', 'pre-theater', 'rice', 'sake', 'sushi', 'times square']
2000317	['burgers']
2000318	['not egg rolls', 'pho', 'spring rolls', 'summer rolls', 'vietnamese food']
2000328	"['burgers', 'egg cream', ""paul's palace""]"
2000332	['alcohol', 'brunch', 'coffee', 'home fries', 'hot toddy', 'mediterranean food', 'omelette', 'outdoor dining', 'steak & eggs']
2000337	['chinatown', 'chinese', 'chinese food', 'late night food', 'lo mein', 'wonton soup']
2000339	"['delivery', ""margarita's"", 'mexican', 'salsa', 'vegetarian-friendly']"
