venue	tags
v15	['nan']
v20	"['andy cohen', 'bakery', 'bar', 'barbeque', 'bbq', 'bistro', 'boutique', 'bravo', 'bravoandy', 'celebrity sighting', 'coffee', 'cupcake', 'dessert', 'desserts', 'douchebag', 'douchebags', 'foodie', 'foody', 'french cuisine', 'gallery art', 'gossip girl', 'gossipgirl', 'home', 'manhattan', 'models', 'people hot spot', 'photo booth', 'restaurant', 'socalite', 'socialite', 'steak frites', 'theater', 'top chef', 'tourists', 'trendy', ""victoria's secret - bombshell"", 'vs hotspot', 'west village', 'wine', 'zagat rated']"
v25	['colombian', 'cupcake', 'fish tacos', 'grilled corn', 'long wait', 'pork', 'rice and beans', 'sweet plantains', 'tinituan ma lala', 'trendy']
v26	['brunch', 'happy hour', 'irish', 'pub']
v36	['french', 'soho', 'zagat-rated', 'zagats']
v39	['byob']
v40	['+ jazz club', 'good food and jazz']
v42	['bar', 'beer', 'brunch', 'burger', 'cozy', 'dinner', 'group', 'happy hour', 'lunch', 'nice waitress', 'salad', 'sandwiches', 'sports', 'steak', 'tavern']
v46	['bakery', 'bravo', 'cupcake', 'dessert', 'diner', 'frozen hot chocolate', 'frozen yogurt', 'gossip girl', 'ice cream', 'socialite', 'top chef', 'tourists', 'upper east side']
v47	['bagels', 'cafe', 'coffee', 'desserts', 'green tea cookies', 'irving farm', 'local food', 'outdoor seating', 'tea', 'wifi']
v52	['gossip girl']
v59	['french restaurant', 'outdoor seating', 'wine bar']
v77	['american', 'brunch', 'dinner', 'happy hour', 'jazz', 'live jazz', 'live music', 'pre-fixe', 'restaurant', 'west village']
v78	['japanese food', 'sushi']
v83	['lunch', 'salad']
v86	['bravo', 'michelin star', 'michelin-rated', 'nymag', 'restaurant', 'timeoutny', 'where to eat 2011', 'wylie dufresne', 'zagat-rated']
v88	['desserts', 'ginger iced tea', 'roast pork sandwich', 'salads', 'strawberry lemonade', 'tarts']
v98	['momo', 'not malaysian', 'tibet', 'tibetan']
v99	['french diner', 'rimbaud', 'steak au poivre']
v102	['brooklyn', 'food', 'italian']
v105	['moroccan']
v114	['rustic', 'taavo somer']
v115	['bingo', 'fiesta lights', 'mexican', 'tequila']
v123	['br guest hospitality', 'brunch', 'live jazz music', 'online reservations @ www.bluewatergrillnyc.com', 'outdoor seating', 'private room', 'raw bar', 'seafood', 'sushi', 'union square', 'www.brguesthospitality.com']
v133	['bbq', 'bbq ribs', 'buffalo wings', 'delivery', 'fried chicken joint']
v138	['extensive wine list', 'food', 'italian', 'late night', 'panini', 'wine']
v140	['restaurant', 'sandwiches']
v141	['best in nyc', 'cash only']
v142	['deli', 'sandwich', 'sandwiches']
v148	['chateaunef-du-pape', 'hiphostessnyc top pick', 'michelin star']
v154	"['fried chicken', ""home cookin'"", 'soul food']"
v155	['japanese', 'sushi']
v161	['margaritas', 'zagat']
v164	['brew pub', 'brew tours', 'pub crawl', 'restaurant', 'scenic view', 'wheelchair access', 'wifi']
v167	['nan']
v172	['barbecue', 'barbeque in times square', 'bbq', 'fries', 'margaritas', 'tourist', 'virgil', 'zagat-rated']
v177	['brunch', 'cocktails', 'dinner', 'foodie', 'unlimited drinks']
v180	['boston bar', 'brunch', 'new england', 'patriots', 'red sox', 'shittynachos', 'sports']
v186	['bar', 'burgers', 'grilled cheese', 'open mic', 'outside dining', 'wings']
v189	['cake doughnuts', 'chai', 'chocolate blackout', 'coffee', 'creme brulee', 'decaf coffee', 'dog creme', 'donuts', 'tres leche', 'valrhona chocolate']
v190	['nan']
v192	['annoying burp', 'bart', 'bbq', 'beer', 'buck hunter', 'college', 'pbr', 'pool table', 'slutty theater girls', 'tlc summer']
v199	"['breakfast', 'brunch', 'cash only', 'cranky', 'cursing', ""don't be an asshole"", ""don't get kicked out"", 'eclectic', 'food', 'kenny shopsin', 'long lines', 'lunch', 'no cell phones', ""no copying someone else's order"", 'no parties larger than four', 'quirky']"
v200	['bar', 'burger', 'crayons', 'happy hour', 'manhattan', 'restaurant', 'tribeca']
v204	['mexican']
v205	['askmen', 'beer', 'bravo', 'fl¨¹gen flaggen!', 'frat boys', 'german', 'gluten free', 'oktoberfest', 'outdoor seating', 'timeoutny', 'top chef', 'weihenstephan']
v209	['sushi']
v210	['pasta']
v212	['italian restaurant']
v217	['nan']
v222	['brunch', 'delivery \\/ takeout available']
v224	['nan']
v239	['beer', 'bison burger', 'brewpub', 'burgers', 'cheese steak', 'chili', 'fries', 'happy hour', 'sliders', 'summer ale was lovely even in winter']
v243	['empanadas', 'gazpacho']
v254	['frat boys', 'gossip girl', 'socialite', 'socialities']
v255	['beer', 'food', 'french', 'moroccan', 'outdoorseating']
v262	['all you can eat mussels', 'brunch', 'b¨¦arnaise sauce', 'french', 'prix fixe', 'sunset menu']
v263	['almond croissants', 'bakery', 'cafe', 'coffee', 'coffee shop']
v271	['garden', 'great food and service', 'outdoor space', 'puma social hot spot']
v278	['baklava', 'falafel', 'hummus', 'lentil soup', 'schwarma', 'shwarma', 'west village']
