userid	venue_id	tips
1024436	2000015	make your own sandwich: tuna salad on country white bread, cheddar, lettuce, tomato, cucumber, mayo. yuuuum.
1008550	2000020	The calamari as an appetizer and the quail. Pretty good, if a bit rich. The berry and creme desert thing was really, really good!
1001537	2000020	Be careful with the napkins on your pants. They leave remnants behind. As in lint.
1059283	2000020	try the steak frites, it's the best - believe me
1000713	2000020	go visit google across the street. see the big coffee robot
1040518	2000020	Great drinks & good appetizers. Love the dessert menu.
1033560	2000020	Try the English breakfast
1017435	2000020	total madhouse and that's because the french onion soup keeps everyone coming back.. oh, and celebrity sightings too. leave room for dessert, my 2 faves? Tarte Aux Pommes & Crêpes Suzette.
1059010	2000020	And by the way if u are looking for a Job on advertising sales and travelling around the world check that after the grattin dauphinois: http:\/\/bit.ly\/aQiWtc
1059010	2000020	Go for the grattin dauphinois!
1037602	2000020	When here you have to order the Mac & Cheese. Amazing
1068863	2000020	People watching + Cheesecake + Sex & The City
1118428	2000020	para brunchear
1105277	2000020	love eating outside here :)
1211609	2000020	If you want an authentic experience, think again if you are pondering a full, sit-down meal here-stick to a pre-dinner cocktail or a night cap\u2013 always reliable and fun. Check out the rest of the revie
1012533	2000020	If you're a fan of our great city and its iconic everything, then you may want to ensure you take a piece with you. New York's photographer - Yale Gurney - can help. WWW.yalegurney.com\/shop
1063386	2000020	An oldie but still a goodie. Best croque monsieur in the city!
1000072	2000025	obtener el pollo mirador. just right for those mornings, err, afternoons where you wake up after a long night out.
1019335	2000025	Three words: get the corn.
1187984	2000025	The corn on the cob is awesome, but the tables were apparently made for midgets.
1002358	2000025	Seriously one of the best cuban sandwiches I've ever had!
1068605	2000025	Drop your change on the sidewalk
1068605	2000025	Skip the line and order at the take out spot. Then sit on the bench outside. Also, Chorizo.
1082113	2000025	Huevos con chorizo is finger lickin good!!
1052206	2000025	Cuban sandwich like a mother fucker
1013722	2000025	your mouth will cry Areeba Areeba after eating their succulently divine Mexican Grilled Corn, YUM... wash down with a Mandarin Jaritos... oh yeah
1082113	2000025	The Mexican corn is the best!!
1025807	2000025	Try the Grilled Corn Mexican Style (via @Foodspotting)
1237785	2000025	Grilled corn+mojito+beer+garlic shrimp+Cuban sandwich= a perfect date
1062764	2000025	Do believe the hype! Corn on cob amazing. Hit the cafe round the corner of Elizabeth for a faster service!
1069093	2000026	Ask Mike, the bartender, to put some Val Doonigan on the jukebox. He's a huge fan!!!
1020537	2000036	Best foie gras in NYC! Thanks for telling us about this place, Naveen!
1024074	2000036	Tired of waiting for a table? Be nice to the mayor and he might help you out. Definitely has some sway here.
1003744	2000036	Try the Creme Brulee (via @Foodspotting)
1020964	2000036	Wonderful good - been serving for years. Score major points with anyone you take there.
1007067	2000036	Sit at the bar and have the bar steak with mashed potatoes.
1264057	2000036	Best steak in the city.
1029831	2000039	BYO with corking fee - I'll take it!!
1023524	2000039	Tartine is a cute little french bistro in the West Village where it's byob and cash only, but food is pretty awesome.
1023420	2000039	Go to Tartine with an appetite.  Portions are large.  The spicy chicken with french fries always hits the spot.
1047683	2000040	Great spot for jazz and totally acceptable French fare.  Escargots are a favorite, along with hanger steak.
1043905	2000040	Happy hour 5 to 730 cocktails $5 and imported beer $3.50 - in a cosy little club atmosphere with jazz playing, you can't go wrong!
1090814	2000042	Fantastic brunch food and the ease to get lost inside and drink alllllllllll day!
1011251	2000042	Take quick peak in to see the amazing Mary Alice Kellog's 1st art collection displayed in the back room. Woot Woot for MA!
1050730	2000042	Could be called \
1024873	2000042	Try the Tavern Tostada - Delicious...too bad the lighting in here isnt great (via @Foodspotting)
1021214	2000042	Always have a great dinner here but had an extra great night thanks to a waitress with short brown hair. She's so helpful!
1005183	2000042	Great prefix brunch
1008051	2000046	Bring a date here for Frozen Hot Chocolate.  Ask for an extra straw so you can split it!
1105313	2000046	Go for the peanut butter pie sundae...actually called the \
1020037	2000046	Insane frozen hot chocolate... Must get through crummy food to enjoy!
1060700	2000046	Went to Serendipity for my Birthday yesterday and had Frozen Hot Chocolate it was amazing!!!
