userid	venue_id
1035443	2000899
1024973	2042406
1014860	2000177
1222505	2000177
1063524	2000609
1051957	2435580
1007860	2068829
1008952	2012790
1042283	2015071
1014506	2025864
1121273	2020624
1025624	2077986
1031594	2023124
1023264	2000908
1058758	2043480
1007128	2034618
1093642	2012052
1047596	2012042
1059796	2014197
1060062	2000381
1060486	2013519
1130096	2013015
1109481	2013424
1186359	2011100
1069593	2017741
1133092	2015261
1012246	2012580
1013173	2017030
1016474	2163313
1073976	2013146
1258400	2049727
1031594	2014859
1043734	2000741
1010469	2000713
1034461	2026057
1031106	2073888
1204573	2000210
1230811	2147002
1047178	2017835
1044806	2013621
1159372	2102278
1057581	2025656
1139608	2075509
1017238	2009209
1224242	2132346
1032880	2039242
1027648	2012118
1241131	2012118
1034872	2123741
1210809	2001492
1180959	2025708
1188400	2160446
1051957	2435580
1080552	2043357
1009527	2000933
1050620	2027966
1059122	2030863
1037005	2021639
1006528	2009250
1001106	2035908
1001834	2000886
1051957	2435580
1039766	2001289
1024794	2000209
1158442	2052719
1048083	2026191
1006998	2010324
1051939	2026289
1080487	2013015
1051946	2070246
1078151	2031748
1024436	2008713
1037459	2015692
1011418	2006894
1049161	2007913
1030955	2023209
1071476	2170319
1028102	2017546
1048997	2006956
1055316	2024535
1119448	2017697
1231211	2407167
1032738	2007357
1129977	2017415
1091070	2022218
1050503	2022218
1208163	2174401
1038272	2000480
1264057	2131078
1043577	2001376
1210809	2030518
1059283	2001492
1074111	2000655
1017374	2025751
1021501	2009953
1080552	2029816
1237785	2000813
1086519	2072714
1258400	2169196
1011418	2040177
1183433	2000114
1028102	2014355
1204573	2000210
1016049	2020969
1001319	2047569
1053523	2017830
1029211	2020445
1118847	2021817
1034323	2019897
1002033	2014327
1000429	2009945
1020423	2011134
1009409	2068216
1144261	2002660
1056697	2033675
1036242	2184106
1022938	2011954
1020423	2049340
1030476	2000985
1109481	2052135
1076657	2015960
1039957	2020497
1002228	2012903
1050631	2070970
1038456	2147002
1032744	2009707
1098568	2001394
1002949	2125941
1022719	2006995
1130314	2011907
1054949	2039242
1082146	2001651
1008767	2015071
1078645	2000239
1039836	2015743
1170632	2039364
1032640	2004987
1069788	2000349
1045720	2108408
1011067	2075007
1049029	2139117
1053523	2015071
1224175	2006232
1025624	2002538
1133970	2041096
1045720	2028788
1026013	2017698
1202050	2021817
1009320	2022366
1158442	2068216
1034323	2008164
1027483	2019393
1047991	2000476
1096231	2011846
1023442	2013621
1186359	2015752
1133970	2015085
1059283	2016683
1126257	2019807
1204208	2013589
1051957	2435580
1178972	2006518
1048083	2059697
1025948	2028675
1052563	2019359
1178972	2051152
1049522	2116111
1013693	2001289
1147677	2024419
1044739	2010324
1139307	2024496
1044226	2000638
1111375	2034618
1054949	2039242
1017734	2000309
1059283	2031813
1001193	2012903
1059959	2005222
1000850	2001031
1082252	2016020
1051445	2064971
1068370	2082441
1181644	2012575
1005159	2012741
1149253	2014102
1139307	2037586
1029211	2098639
1049029	2139117
1086519	2014334
1043734	2151325
1071985	2021657
1038956	2026199
1002358	2006856
1051957	2435580
1037934	2011362
1149253	2013101
1011206	2011734
1001267	2024124
1017476	2000639
1063432	2000751
1062068	2000360
1000748	2025753
1024672	2022218
1011367	2024355
1002228	2000649
1181644	2057268
1041751	2000751
1116148	2073254
1238676	2000172
1036661	2050168
1130314	2011907
1027935	2041096
1053868	2023136
1008146	2000700
1044555	2081616
1141794	2075029
1006083	2080645
1017387	2017698
1016654	2013227
1058020	2000419
1013356	2009684
1013356	2042775
1256434	2054085
1000287	2037983
1012382	2000925
1007067	2000813
1051445	2064971
1027075	2005744
1050343	2024123
1151828	2000362
1026015	2016364
1249013	2001193
