userid	venue_id
u35443	v899
u24973	v42406
u14860	v177
u222505	v177
u63524	v609
u51957	v435580
u7860	v68829
u8952	v12790
u42283	v15071
u14506	v25864
u121273	v20624
u25624	v77986
u31594	v23124
u23264	v908
u58758	v43480
u7128	v34618
u93642	v12052
u47596	v12042
u59796	v14197
u60062	v381
u60486	v13519
u130096	v13015
u109481	v13424
u186359	v11100
u69593	v17741
u133092	v15261
u12246	v12580
u13173	v17030
u16474	v163313
u73976	v13146
u258400	v49727
u31594	v14859
u43734	v741
u10469	v713
u34461	v26057
u31106	v73888
u204573	v210
u230811	v147002
u47178	v17835
u44806	v13621
u159372	v102278
u57581	v25656
u139608	v75509
u17238	v9209
u224242	v132346
u32880	v39242
u27648	v12118
u241131	v12118
u34872	v123741
u210809	v1492
u180959	v25708
u188400	v160446
u51957	v435580
u80552	v43357
u9527	v933
u50620	v27966
u59122	v30863
u37005	v21639
u6528	v9250
u1106	v35908
u1834	v886
u51957	v435580
u39766	v1289
u24794	v209
u158442	v52719
u48083	v26191
u6998	v10324
u51939	v26289
u80487	v13015
u51946	v70246
u78151	v31748
u24436	v8713
u37459	v15692
u11418	v6894
u49161	v7913
u30955	v23209
u71476	v170319
u28102	v17546
u48997	v6956
u55316	v24535
u119448	v17697
u231211	v407167
u32738	v7357
u129977	v17415
u91070	v22218
u50503	v22218
u208163	v174401
u38272	v480
u264057	v131078
u43577	v1376
u210809	v30518
u59283	v1492
u74111	v655
u17374	v25751
u21501	v9953
u80552	v29816
u237785	v813
u86519	v72714
u258400	v169196
u11418	v40177
u183433	v114
u28102	v14355
u204573	v210
u16049	v20969
u1319	v47569
u53523	v17830
u29211	v20445
u118847	v21817
u34323	v19897
u2033	v14327
u429	v9945
u20423	v11134
u9409	v68216
u144261	v2660
u56697	v33675
u36242	v184106
u22938	v11954
u20423	v49340
u30476	v985
u109481	v52135
u76657	v15960
u39957	v20497
u2228	v12903
u50631	v70970
u38456	v147002
u32744	v9707
u98568	v1394
u2949	v125941
u22719	v6995
u130314	v11907
u54949	v39242
u82146	v1651
u8767	v15071
u78645	v239
u39836	v15743
u170632	v39364
u32640	v4987
u69788	v349
u45720	v108408
u11067	v75007
u49029	v139117
u53523	v15071
u224175	v6232
u25624	v2538
u133970	v41096
u45720	v28788
u26013	v17698
u202050	v21817
u9320	v22366
u158442	v68216
u34323	v8164
u27483	v19393
u47991	v476
u96231	v11846
u23442	v13621
u186359	v15752
u133970	v15085
u59283	v16683
u126257	v19807
u204208	v13589
u51957	v435580
u178972	v6518
u48083	v59697
u25948	v28675
u52563	v19359
u178972	v51152
u49522	v116111
u13693	v1289
u147677	v24419
u44739	v10324
u139307	v24496
u44226	v638
u111375	v34618
u54949	v39242
u17734	v309
u59283	v31813
u1193	v12903
u59959	v5222
u850	v1031
u82252	v16020
u51445	v64971
u68370	v82441
u181644	v12575
u5159	v12741
u149253	v14102
u139307	v37586
u29211	v98639
u49029	v139117
u86519	v14334
u43734	v151325
u71985	v21657
u38956	v26199
u2358	v6856
u51957	v435580
u37934	v11362
u149253	v13101
u11206	v11734
u1267	v24124
u17476	v639
u63432	v751
u62068	v360
u748	v25753
u24672	v22218
u11367	v24355
u2228	v649
u181644	v57268
u41751	v751
u116148	v73254
u238676	v172
u36661	v50168
u130314	v11907
u27935	v41096
u53868	v23136
u8146	v700
u44555	v81616
u141794	v75029
u6083	v80645
u17387	v17698
u16654	v13227
u58020	v419
u13356	v9684
u13356	v42775
u256434	v54085
u287	v37983
u12382	v925
u7067	v813
u51445	v64971
u27075	v5744
u50343	v24123
u151828	v362
u26015	v16364
u249013	v1193
u34323	v26754
u43198	v21345
u214716	v787
u91070	v22218
u49807	v180
u110689	v958
