userid	venue_id	tips
u24436	v15	make your own sandwich: tuna salad on country white bread, cheddar, lettuce, tomato, cucumber, mayo. yuuuum.
u8550	v20	The calamari as an appetizer and the quail. Pretty good, if a bit rich. The berry and creme desert thing was really, really good!
u1537	v20	Be careful with the napkins on your pants. They leave remnants behind. As in lint.
u59283	v20	try the steak frites, it's the best - believe me
u713	v20	go visit google across the street. see the big coffee robot
u40518	v20	Great drinks & good appetizers. Love the dessert menu.
u33560	v20	Try the English breakfast
u17435	v20	total madhouse and that's because the french onion soup keeps everyone coming back.. oh, and celebrity sightings too. leave room for dessert, my 2 faves? Tarte Aux Pommes & Crêpes Suzette.
u59010	v20	And by the way if u are looking for a Job on advertising sales and travelling around the world check that after the grattin dauphinois: http:\/\/bit.ly\/aQiWtc
u59010	v20	Go for the grattin dauphinois!
u37602	v20	When here you have to order the Mac & Cheese. Amazing
u68863	v20	People watching + Cheesecake + Sex & The City
u118428	v20	para brunchear
u105277	v20	love eating outside here :)
u211609	v20	If you want an authentic experience, think again if you are pondering a full, sit-down meal here-stick to a pre-dinner cocktail or a night cap\u2013 always reliable and fun. Check out the rest of the revie
u12533	v20	If you're a fan of our great city and its iconic everything, then you may want to ensure you take a piece with you. New York's photographer - Yale Gurney - can help. WWW.yalegurney.com\/shop
u63386	v20	An oldie but still a goodie. Best croque monsieur in the city!
u72	v25	obtener el pollo mirador. just right for those mornings, err, afternoons where you wake up after a long night out.
u19335	v25	Three words: get the corn.
u187984	v25	The corn on the cob is awesome, but the tables were apparently made for midgets.
u2358	v25	Seriously one of the best cuban sandwiches I've ever had!
u68605	v25	Drop your change on the sidewalk
u68605	v25	Skip the line and order at the take out spot. Then sit on the bench outside. Also, Chorizo.
u82113	v25	Huevos con chorizo is finger lickin good!!
u52206	v25	Cuban sandwich like a mother fucker
u13722	v25	your mouth will cry Areeba Areeba after eating their succulently divine Mexican Grilled Corn, YUM... wash down with a Mandarin Jaritos... oh yeah
u82113	v25	The Mexican corn is the best!!
u25807	v25	Try the Grilled Corn Mexican Style (via @Foodspotting)
u237785	v25	Grilled corn+mojito+beer+garlic shrimp+Cuban sandwich= a perfect date
u62764	v25	Do believe the hype! Corn on cob amazing. Hit the cafe round the corner of Elizabeth for a faster service!
u69093	v26	Ask Mike, the bartender, to put some Val Doonigan on the jukebox. He's a huge fan!!!
u20537	v36	Best foie gras in NYC! Thanks for telling us about this place, Naveen!
u24074	v36	Tired of waiting for a table? Be nice to the mayor and he might help you out. Definitely has some sway here.
u3744	v36	Try the Creme Brulee (via @Foodspotting)
u20964	v36	Wonderful good - been serving for years. Score major points with anyone you take there.
u7067	v36	Sit at the bar and have the bar steak with mashed potatoes.
u264057	v36	Best steak in the city.
u29831	v39	BYO with corking fee - I'll take it!!
u23524	v39	Tartine is a cute little french bistro in the West Village where it's byob and cash only, but food is pretty awesome.
u23420	v39	Go to Tartine with an appetite.  Portions are large.  The spicy chicken with french fries always hits the spot.
u47683	v40	Great spot for jazz and totally acceptable French fare.  Escargots are a favorite, along with hanger steak.
u43905	v40	Happy hour 5 to 730 cocktails $5 and imported beer $3.50 - in a cosy little club atmosphere with jazz playing, you can't go wrong!
u90814	v42	Fantastic brunch food and the ease to get lost inside and drink alllllllllll day!
u11251	v42	Take quick peak in to see the amazing Mary Alice Kellog's 1st art collection displayed in the back room. Woot Woot for MA!
u50730	v42	Could be called \
u24873	v42	Try the Tavern Tostada - Delicious...too bad the lighting in here isnt great (via @Foodspotting)
u21214	v42	Always have a great dinner here but had an extra great night thanks to a waitress with short brown hair. She's so helpful!
u5183	v42	Great prefix brunch
u8051	v46	Bring a date here for Frozen Hot Chocolate.  Ask for an extra straw so you can split it!
u105313	v46	Go for the peanut butter pie sundae...actually called the \
u20037	v46	Insane frozen hot chocolate... Must get through crummy food to enjoy!
u60700	v46	Went to Serendipity for my Birthday yesterday and had Frozen Hot Chocolate it was amazing!!!
u180792	v46	Get a head start to put your name on the waiting list. Expect a half hour wait but drop by Dylan's on the corner to kill some time. The Frozen Hot Chocolate is the draw. Yum.
u36206	v46	Most of the desserts are HUGE! Sharing with a friend or date will still leave you satisfied.
u645	v46	Try the Frozen Peanut Butter Hot Chocolate - First time with the peanut butter. I approve! (via @Foodspotting)
u53381	v46	They hype should be about the chicken wings...delicious and the blu cheese...yum!
u33560	v46	Andy Warhol used to be a regular here.
u33560	v46	The $1,000 Golden Opulence Sundae includes: Tahitian ice cream, gold leaf, expensive chocolate, candied French fruit, Grand Passion Caviar and a souvenir crystal goblet.
u16499	v46	Dylan's takes reservations, but they recommend doing so two weeks in advance.
u23200	v46	Nice atmosphere...frozen chocolate ok but not a big deal at all service even worst...no tks!
u118710	v47	Great for twists and iced lattes in the summer.
u21881	v47	fantastic vibe and snacks at 71 Irving. stepping down into a cozy nook for any occasion here is totally worth it!
u33575	v47	No wifi...but GOOD coffee.
u34450	v47	Sit by the window and alternate people-watching the crowds on the street and in the cafe. Mochaccinno (hot or cold) FTW!
u47683	v47	The people here are mean. Especially the curly haired register girl.
u73726	v47	Great place! Ull love the vibe, its like ur in some1's home.
u54949	v47	Great coffee and great location. Warning: if you want to sit down for a while, you may have to wait. People come in and plant themselves for long periods of time.
u43127	v47	Some of the staff really have attitude problems.
u15414	v47	Free hot water refills with tea!
u43127	v47	They raised their prices! :( $4.15 for a freaking cupcake? C'mon people!
u69549	v52	Try the pollo alla grilga. It was damn good.
u17874	v59	Great place for Sunday brunch, especially with the live jazz.
u43293	v77	Bad service, rude manager, can't take more than 6 cards and didn't tell us, took 45 minutes to pay, slow, unapologetic, and average food.
u20186	v77	@kvedd loves the salmon here.
u264033	v77	The waitress is
u21452	v77	Order bottomless mimosas 2 at a time. They take that long to be delivered.
u117498	v78	Miso soup w mushrooms, cold buckwheat noodles, grilled salmon neck, sushi, green tea, salmon skin hand rolled, extra fatty toro, miso ramen
u198227	v83	Baruch District 10% Discount.
u78275	v86	5stars across the board (1) informed and friendly staff, (2) inventive cocktails and wine list, (3) menu cover, (4) dishes are unlike anything you've had, (5) desserts will seduce you.
u28031	v86	Skip the cocktails, order the wine. The Duck Rye is a must
u196154	v86	Don't be afraid! The food here is incredible, and the experience will change the way you look at dining! Open your mind :)
u43293	v88	Did you know: $8.50 chicken pot pie!!! You're welcome.
u29831	v88	Good food, good prices, good location, great staff! Why wouldn't you go?
u215619	v98	momos? did someone say momo? the barley ice cream is oh so tasty as well. did i mention the tibetan dumplings? why yes, i will have the momos. extra hot sawce please.
u141794	v99	Try the Creme Brulee - #sweet #nom (via @Foodspotting)
u201903	v99	It's just so incredibly cute.
u25121	v99	late at night, the french fries are awful.
